account_value,date,daily_return
6361149.971927798,2014-02-28,0.02301281666461752
6458289.091927798,2014-03-03,0.015270685399445316
6451031.771927797,2014-03-04,-0.0011237217623274454
6485766.0519277975,2014-03-05,0.005384298392568709
6528912.091927798,2014-03-06,0.006652420030965667
6572281.891927798,2014-03-07,0.006642729966240601
6328358.611927798,2014-03-10,-0.03711394063903306
6421064.651927798,2014-03-11,0.014649302557738553
6367199.2119278,2014-03-12,-0.00838886429586494
6521938.571927798,2014-03-13,0.02430257870840946
6473454.0519278,2014-03-14,-0.007434065725287264
6559584.1719278,2014-03-17,0.013305125719452748
6611883.531927799,2014-03-18,0.007972968808574343
6642111.851927797,2014-03-19,0.0045718167681010335
6502770.051927798,2014-03-20,-0.020978538619393583
6683328.331927797,2014-03-21,0.02776636395845955
6724116.5319278,2014-03-24,0.006102977135680865
6658396.2919278,2014-03-25,-0.009773810386530912
6517450.411927801,2014-03-26,-0.02116814227036512
6460686.1319277985,2014-03-27,-0.008709583719442748
6433088.691927799,2014-03-28,-0.004271595839274278
6451824.731927796,2014-03-31,0.0029124485759861596
6602435.571927799,2014-04-01,0.023343913738803623
6718861.531927795,2014-04-02,0.01763378964196427
6666935.091927799,2014-04-03,-0.007728458125419446
6679620.971927801,2014-04-04,0.0019028053858454186
6830285.491927799,2014-04-08,0.02255584869758187
6821499.771927798,2014-04-09,-0.0012862888396661942
7040275.091927798,2014-04-10,0.03207143990538808
7103321.171927797,2014-04-11,0.008955059166975587
7067584.851927801,2014-04-14,-0.005030931184869525
6983780.451927796,2014-04-15,-0.011857572530897365
6942038.771927797,2014-04-16,-0.005976946195162314
6957143.4919278,2014-04-17,0.0021758334253452194
6971329.1319277985,2014-04-18,0.0020390035100552595
6816704.251927797,2014-04-21,-0.022180114734769774
6872399.411927798,2014-04-22,0.008170394070455611
6974654.531927797,2014-04-23,0.014879100277920942
6943125.051927796,2014-04-24,-0.00452057945747264
6706697.891927799,2014-04-25,-0.03405198066169801
6610948.9719278,2014-04-28,-0.014276611462586186
6672943.6919278,2014-04-29,0.009377582592642764
6685311.011927796,2014-04-30,0.001853352968489208
6634140.451927799,2014-05-05,-0.007654177929598105
6630585.131927798,2014-05-06,-0.0005359126816448789
6577113.131927797,2014-05-07,-0.008064446641748213
6610374.371927798,2014-05-08,0.005057118424577345
6592488.251927801,2014-05-09,-0.002705765058625631
6677777.291927796,2014-05-12,0.012937306331195053
6690223.011927798,2014-05-13,0.0018637518826880584
6611428.571927798,2014-05-14,-0.011777550592785957
6575116.811927797,2014-05-15,-0.005492271391115189
6573506.771927798,2014-05-16,-0.0002448686534478606
6360104.931927798,2014-05-19,-0.032463926394863396
6322301.0919277975,2014-05-20,-0.005943901933162299
6445936.5719278,2014-05-21,0.019555455869992855
6240448.4919278,2014-05-22,-0.03187870027994155
6320900.811927799,2014-05-23,0.012892073398901749
6336507.371927799,2014-05-26,0.0024690404840002067
6303709.331927798,2014-05-27,-0.0051760438479570015
6353424.651927799,2014-05-28,0.007886677094738115
6339411.171927798,2014-05-29,-0.002205657699229868
6327588.971927797,2014-05-30,-0.0018648735157534846
6323702.731927795,2014-06-03,-0.0006141739005557367
6251255.091927797,2014-06-04,-0.011456522083844511
6343881.9719277965,2014-06-05,0.014817325263147385
6298972.1319277985,2014-06-06,-0.007079236372733222
6327149.571927796,2014-06-09,0.004473339365509199
6395714.8119278,2014-06-10,0.010836671272039133
6380705.611927799,2014-06-11,-0.0023467587973137194
6408694.851927796,2014-06-12,0.0043865430725522625
6438213.171927797,2014-06-13,0.0046059799509912125
6525586.011927797,2014-06-16,0.013570976553085812
6442237.651927798,2014-06-17,-0.0127725479133447
6438645.651927798,2014-06-18,-0.0005575702409744698
6350146.491927799,2014-06-19,-0.013744996197065373
