account_rewards,date
-114528.24759999814,2015-10-29
-204014.6684000017,2015-10-30
-115317.27679999646,2015-11-02
294676.0359999988,2015-11-03
38678.14400000114,2015-11-04
150217.48919999943,2015-11-05
107880.16079999894,2015-11-06
-145050.35399999766,2015-11-09
-73949.88400000187,2015-11-10
-154203.9859999998,2015-11-11
-221108.04960000244,2015-11-12
-76715.20719999651,2015-11-13
-141470.95599999916,2015-11-16
-211614.352400004,2015-11-17
28739.843600003158,2015-11-18
-113283.47680000089,2015-11-19
-149497.71240000034,2015-11-20
-58589.59800000042,2015-11-23
19008.032400001823,2015-11-24
-163545.05440000218,2015-11-25
-475726.15960000246,2015-11-26
-142602.7327999969,2015-11-27
-2030.908400000428,2015-11-30
182878.26839999945,2015-12-01
-11432.954399999753,2015-12-02
-219209.52360000092,2015-12-03
15966.938800001655,2015-12-04
-186926.27119999993,2015-12-07
-19648.647600003133,2015-12-08
-74038.44079999691,2015-12-09
-150537.91040000197,2015-12-10
81477.59239999978,2015-12-11
-81037.2151999993,2015-12-14
-141930.79200000034,2015-12-15
62695.498800001755,2015-12-16
-85330.53079999912,2015-12-17
194607.72599999848,2015-12-18
-32017.998799997695,2015-12-21
-119498.41280000059,2015-12-22
-190915.81440000178,2015-12-23
-98779.85279999829,2015-12-24
-297702.98560000065,2015-12-25
19384.67159999932,2015-12-28
-27402.387999999097,2015-12-29
-192380.3640000003,2015-12-30
-664635.7055999992,2015-12-31
-106298.30040000145,2016-01-04
38785.92240000069,2016-01-05
-623967.5887999999,2016-01-06
72825.9931999998,2016-01-07
-429581.31840000075,2016-01-08
-33625.18640000019,2016-01-11
-211218.2531999975,2016-01-12
95040.2975999981,2016-01-13
-301591.6880000005,2016-01-14
-31749.805600001153,2016-01-15
131431.91040000223,2016-01-18
-197179.02040000088,2016-01-19
-247068.6383999993,2016-01-20
6520.043999998815,2016-01-21
-11947.021599999476,2016-01-22
-482148.41000000015,2016-01-25
-128612.10280000069,2016-01-26
-210286.35479999892,2016-01-27
171690.53279999836,2016-01-28
-147792.95960000082,2016-01-29
70523.44600000134,2016-02-01
-65530.45719999876,2016-02-02
10336.34519999886,2016-02-03
-142752.00439999913,2016-02-04
-103094.6460000017,2016-02-05
154073.61800000237,2016-02-15
-56341.22600000055,2016-02-16
-85465.3892000006,2016-02-17
-60535.78400000049,2016-02-18
102307.24480000019,2016-02-19
-133821.8183999997,2016-02-22
-5489.479200000855,2016-02-23
-513333.61440000037,2016-02-24
-5153.855599998037,2016-02-25
