account_rewards,date
-100243.54599999572,2014-07-16
92637.95919999489,2014-07-17
-51268.07399999785,2014-07-18
16618.11959999782,2014-07-21
-47762.09759999841,2014-07-22
18587.61319999993,2014-07-23
-29344.852399997613,2014-07-24
30243.51839999712,2014-07-25
-114905.65839999745,2014-07-28
-171820.9268000039,2014-07-29
10138.134800001731,2014-07-30
-93148.9788000006,2014-07-31
52378.82799999938,2014-08-01
-63374.702799996194,2014-08-04
-110465.60760000141,2014-08-05
-189194.19600000107,2014-08-06
-26785.365200000066,2014-08-07
8786.02360000012,2014-08-08
-101402.89559999727,2014-08-11
-87744.70120000135,2014-08-12
-73253.4884000012,2014-08-13
-11304.290400001684,2014-08-14
-55791.50839999832,2014-08-15
-108286.21919999995,2014-08-18
-54315.1728000006,2014-08-19
-131231.14519999886,2014-08-20
-64610.8852,2014-08-21
-111578.57360000108,2014-08-22
-66702.3392000004,2014-08-25
21235.715200003295,2014-08-26
-118054.43040000321,2014-08-27
42063.93479999953,2014-08-28
-35392.21359999736,2014-08-29
75968.78879999697,2014-09-01
-5107.92079999911,2014-09-02
-24933.598400000228,2014-09-03
-1219.2483999962792,2014-09-04
-144118.6128000005,2014-09-05
-104189.06240000282,2014-09-09
-147905.09399999797,2014-09-10
-12968.111200002146,2014-09-11
-142106.100400001,2014-09-12
-224520.8187999974,2014-09-15
-15299.009600001795,2014-09-16
-64357.76799999736,2014-09-17
-1998.896000002039,2014-09-18
-240709.49719999993,2014-09-19
-3887.9223999995183,2014-09-22
71551.28439999941,2014-09-23
-35937.761999999406,2014-09-24
-85316.05839999941,2014-09-25
-69082.826800002,2014-09-26
-95977.91079999777,2014-09-29
-58464.20359999881,2014-09-30
-90601.72080000212,2014-10-08
-119571.59399999877,2014-10-09
-86100.20840000048,2014-10-10
-121406.36760000099,2014-10-13
-25451.28560000111,2014-10-14
-135067.9391999978,2014-10-15
-73119.21480000133,2014-10-16
-86145.95959999958,2014-10-17
-85479.99239999881,2014-10-20
-29358.95760000139,2014-10-21
-116576.14520000023,2014-10-22
-94609.5256,2014-10-23
-116078.66799999608,2014-10-24
74955.10879999562,2014-10-27
-32346.985599999593,2014-10-28
-118867.03199999753,2014-10-29
-1245.0436000035702,2014-10-30
-72274.99759999776,2014-10-31
-151850.75760000004,2014-11-03
-169266.24560000116,2014-11-04
-36290.069999998654,2014-11-05
-63105.005600000404,2014-11-06
121284.47079999931,2014-11-07
-158156.54519999947,2014-11-10
15394.780000000457,2014-11-11
-121854.05720000123,2014-11-12
32327.43640000242,2014-11-13
-32800.09680000157,2014-11-14
-210794.76720000186,2014-11-17
-150856.8548000012,2014-11-18
-109555.84199999558,2014-11-19
47044.81559999836,2014-11-20
82391.36839999793,2014-11-21
-10892.7716,2014-11-24
25462.148800000905,2014-11-25
-74080.38279999614,2014-11-26
-24533.98160000197,2014-11-27
-38218.09200000183,2014-11-28
64646.21319999956,2014-12-01
112679.37000000215,2014-12-02
329032.1343999978,2014-12-03
56147.705599999885,2014-12-04
246397.26400000375,2014-12-05
-370219.97600000363,2014-12-08
242453.7572000016,2014-12-09
-235427.49040000016,2014-12-10
-106570.5667999994,2014-12-11
1110.984400000812,2014-12-12
23871.38559999712,2014-12-15
15550.892000003107,2014-12-16
-49661.89320000045,2014-12-17
