account_rewards,date
-3789.824201700046,2014-09-16
-24020.28753299688,2014-09-17
-5345.3917524019635,2014-09-18
-118509.89028820037,2014-09-19
39136.800708001836,2014-09-22
155416.06700249945,2014-09-23
-9774.721439599685,2014-09-24
15568.042562403956,2014-09-25
-285349.2406050048,2014-09-26
-11440.55365639858,2014-09-29
63290.23575990228,2014-09-30
13303.411613996524,2014-10-08
-66114.48985819762,2014-10-09
-70327.97179340271,2014-10-10
-79012.67233499917,2014-10-13
82627.95743869893,2014-10-14
-117883.19659499686,2014-10-15
-51559.70186900207,2014-10-16
28493.670985702265,2014-10-17
-16134.02205450076,2014-10-20
-96428.24832620096,2014-10-21
-144514.9275711007,2014-10-22
4360.996778600724,2014-10-23
-3146.8494329994264,2014-10-24
130481.60688919951,2014-10-27
129411.75890819954,2014-10-28
24325.631700202488,2014-10-29
94366.46797559682,2014-10-30
48999.837041403596,2014-10-31
-9988.247648200406,2014-11-03
-68107.42410880304,2014-11-04
260.4628778038919,2014-11-05
-17162.88640360075,2014-11-06
178137.30955199644,2014-11-07
-18273.374154997207,2014-11-10
193374.8441455989,2014-11-11
94048.86557280009,2014-11-12
-48910.83081879727,2014-11-13
-42715.11012560289,2014-11-14
-31425.66654909851,2014-11-17
-60392.784113803486,2014-11-18
6150.401310004818,2014-11-19
157662.10169129868,2014-11-20
213910.67734619815,2014-11-21
125795.8499438021,2014-11-24
100405.28330659812,2014-11-25
267543.1954477015,2014-11-26
98819.32160860376,2014-11-27
-39753.18332050206,2014-11-28
300398.93265129713,2014-12-01
130364.9586513008,2014-12-02
301393.79841820005,2014-12-03
-65788.3106006992,2014-12-04
447389.46467749943,2014-12-05
-262227.4074280007,2014-12-08
288861.988192998,2014-12-09
-158320.92173659737,2014-12-10
-64109.78412999955,2014-12-11
79868.51485070153,2014-12-12
276668.8751863946,2014-12-15
120740.07598670496,2014-12-16
-8891.435615599637,2014-12-17
56861.0950754982,2014-12-18
31886.610760100186,2014-12-19
-243623.6112435021,2014-12-22
-298618.69468459825,2014-12-23
384370.33413240046,2014-12-24
296794.0041775983,2014-12-25
179893.29589630244,2014-12-26
92608.06321599704,2014-12-29
215389.59479190686,2014-12-30
438380.4468022922,2014-12-31
-30938.357507399287,2015-01-05
242452.0740915979,2015-01-06
-213485.6517899899,2015-01-07
-64896.135179205514,2015-01-08
-264397.2550174018,2015-01-09
6770.118551796985,2015-01-12
14427.89186000131,2015-01-13
360448.25118510675,2015-01-14
89099.2784966913,2015-01-15
-842312.6890774945,2015-01-16
125837.65418350155,2015-01-19
478320.4439984016,2015-01-20
437160.95436799317,2015-01-21
79755.79953300464,2015-01-22
165026.5569281059,2015-01-23
-157740.4915620047,2015-01-26
-185996.98670659834,2015-01-27
-162186.8214154005,2015-01-28
-134702.18334799996,2015-01-29
-156948.2232244014,2015-01-30
263263.75194060005,2015-02-02
-107424.03425930024,2015-02-03
-153615.02183549706,2015-02-04
-141523.09332280504,2015-02-05
142113.15323580647,2015-02-06
149978.35463099688,2015-02-09
81078.7024673993,2015-02-10
-31689.297307900226,2015-02-11
35756.66395690064,2015-02-12
-6857.164139002738,2015-02-13
46990.36709960325,2015-02-16
-154021.82110900473,2015-02-17
266599.8801347009,2015-02-25
-17819.92511460082,2015-02-26
30122.539086405217,2015-02-27
-282894.3279056012,2015-03-02
-12113.762547001545,2015-03-03
-168607.76781849854,2015-03-04
59222.804752399315,2015-03-05
48118.25113850254,2015-03-06
-112911.82435810012,2015-03-09
27922.796839999228,2015-03-10
198783.3536850001,2015-03-11
110459.19362159615,2015-03-12
201961.6366262021,2015-03-13
196741.31902529957,2015-03-16
198782.4112080066,2015-03-17
-57829.57746269987,2015-03-18
147913.36671099576,2015-03-19
99149.38074840247,2015-03-20
-50085.57437950323,2015-03-23
-112472.48194039908,2015-03-24
92465.28884960018,2015-03-25
52541.757889599925,2015-03-26
283671.5746976012,2015-03-27
-157607.32763499935,2015-03-30
171094.89148369676,2015-03-31
-61770.46789059372,2015-04-01
203152.0747658983,2015-04-02
173385.8419504992,2015-04-03
97534.32299699819,2015-04-07
35255.33243740487,2015-04-08
113522.20995719881,2015-04-09
55543.04514109462,2015-04-10
99527.03661190126,2015-04-13
-128320.03938039222,2015-04-14
338117.4748097942,2015-04-15
325372.80413859995,2015-04-16
43220.818046000975,2015-04-17
351993.31139920355,2015-04-20
427602.96154939325,2015-04-21
-91528.67911719649,2015-04-22
-7802.991794002522,2015-04-23
448645.51917650417,2015-04-24
74985.49733699833,2015-04-27
-48580.025660000225,2015-04-28
60453.33774590233,2015-04-29
8064.782324997857,2015-04-30
-464476.40835239517,2015-05-04
-146302.7845893031,2015-05-05
-202184.57671439997,2015-05-06
-1159.5597770007757,2015-05-07
627041.1838559982,2015-05-08
613110.3642340002,2015-05-11
368200.6875254943,2015-05-12
711712.4069332085,2015-05-13
378805.4540055002,2015-05-14
416692.0507645994,2015-05-15
22092.814646794926,2015-05-18
7749.593914703065,2015-05-19
1045689.8068061995,2015-05-20
47380.23394639675,2015-05-21
60453.548017401874,2015-05-22
485036.9739920963,2015-05-25
363674.2859101083,2015-05-26
-1424607.6133692039,2015-05-27
17460.48731779916,2015-05-28
856005.910598399,2015-05-29
901213.5829329038,2015-06-01
-609809.9247867016,2015-06-02
516949.91165940784,2015-06-03
571132.2844783927,2015-06-04
94957.86251210197,2015-06-05
-639922.379187602,2015-06-08
-372730.9784892972,2015-06-09
34898.52411669727,2015-06-10
-142757.65426980235,2015-06-11
-644777.272157598,2015-06-12
-838905.0743441072,2015-06-15
333234.0010180109,2015-06-16
-501177.2282944019,2015-06-17
-1413239.912570802,2015-06-18
192415.6572347056,2015-06-19
365716.7696208973,2015-06-23
-125371.0571990997,2015-06-24
-1712462.6194794024,2015-06-25
-1075339.4970264037,2015-06-26
862880.0689917098,2015-06-29
-1251057.7124137045,2015-06-30
-1004436.489339906,2015-07-01
-1137884.7681529974,2015-07-02
-321674.6258059979,2015-07-03
-584341.3541685998,2015-07-06
-613584.6753510007,2015-07-07
635102.1562937973,2015-07-08
617955.164851305,2015-07-09
632779.8970515997,2015-07-10
-11571.778189003291,2015-07-13
-220470.6441759985,2015-07-14
270053.1077792035,2015-07-15
840828.0573267987,2015-07-16
703307.6376872974,2015-07-17
-8204.990415501417,2015-07-20
-28229.600235196107,2015-07-21
545744.9534514982,2015-07-22
-260573.82209099937,2015-07-23
-1531606.5351295043,2015-07-24
-482772.01207099675,2015-07-27
520308.7095958008,2015-07-28
-497043.7375779951,2015-07-29
3746.0607597969943,2015-07-30
-513080.1204058006,2015-07-31
695549.4249216075,2015-08-03
-267204.5299212093,2015-08-04
-161781.2540034998,2015-08-05
480546.2338153965,2015-08-06
807065.6517910007,2015-08-07
93052.05298170356,2015-08-10
10799.269225500842,2015-08-11
319520.5852466976,2015-08-12
255897.64382349944,2015-08-13
-72764.77170019719,2015-08-14
-1138395.8361933988,2015-08-17
316507.66805300175,2015-08-18
-128183.32546510216,2015-08-19
-843769.4156566021,2015-08-20
-1121567.948571001,2015-08-21
-997828.0911205965,2015-08-24
-155244.91615529993,2015-08-25
662069.0915705017,2015-08-26
566433.2340103994,2015-08-27
-223923.96290150395,2015-08-28
-370811.8318711975,2015-08-31
-177408.1107945978,2015-09-01
-86170.30885290375,2015-09-02
442664.803654602,2015-09-07
390228.18812259554,2015-09-08
-123281.6078500962,2015-09-09
-79166.5470410975,2015-09-10
-579815.7963890019,2015-09-11
-578268.6984821992,2015-09-14
701332.699740601,2015-09-15
-224697.03316109857,2015-09-16
101091.15469029506,2015-09-17
255442.66460220073,2015-09-18
134267.30456099828,2015-09-21
-325637.1790329983,2015-09-22
107735.59192360165,2015-09-23
-266760.1790860019,2015-09-24
263555.00924370304,2015-09-25
-42127.95608790301,2015-09-28
27094.10392380227,2015-09-29
339962.2622017978,2015-09-30
129297.89162080517,2015-10-08
463787.4393639993,2015-10-09
-8502.30605900336,2015-10-12
28659.280653797756,2015-10-13
96862.92123070233,2015-10-14
43939.08820100005,2015-10-15
-31585.227906100776,2015-10-16
61224.5738209985,2015-10-19
-57352.35486510186,2015-10-20
-29462.68039949303,2015-10-21
-77182.6734907029,2015-10-22
98222.69836729906,2015-10-23
-109967.70929209962,2015-10-26
-269339.57340799744,2015-10-27
60325.425396996725,2015-10-28
214086.88262700415,2015-10-29
103459.57369039896,2015-10-30
19108.185763196132,2015-11-02
496251.0755834073,2015-11-03
60513.57669518865,2015-11-04
286648.727408903,2015-11-05
-35575.62979359185,2015-11-06
-87426.24329200614,2015-11-09
134701.36410460074,2015-11-10
-270008.23580600164,2015-11-11
-158236.76387079942,2015-11-12
375295.722044203,2015-11-13
17144.520391800077,2015-11-16
-157494.6386804054,2015-11-17
163689.4939022022,2015-11-18
212129.07029600107,2015-11-19
-269037.9770681994,2015-11-20
-70457.80964660193,2015-11-23
225666.92035489448,2015-11-24
-41267.3374533926,2015-11-25
-850095.2056869997,2015-11-26
14904.708091303355,2015-11-27
107000.76094339887,2015-11-30
257562.52419400233,2015-12-01
81528.20427419938,2015-12-02
142052.58693849578,2015-12-03
