train/reward,time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/learning_rate,train/clip_fraction,train/explained_variance,train/clip_range,train/loss,train/entropy_loss,train/value_loss,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/std
25.204304,126976,509,62,249,0.00025,0.342138671875,0.029325664043426514,0.2,375.05322265625,-59.215832805633546,1148.399154663086,610,-0.028113917321024928,0.038397677,1.1508817672729492
-4.359757,129024,517,63,249,0.00025,0.2515625,0.017432868480682373,0.2,2410.58447265625,-59.285853958129884,3990.330531311035,620,-0.01849870593068772,0.028561564,1.1539130210876465
1.7407322,131072,525,64,249,0.00025,0.3630859375,-0.025691509246826172,0.2,1661.0050048828125,-59.353535008430484,4041.772869873047,630,-0.0021681971062207594,0.04383874,1.1549677848815918
-0.9028954,133120,534,65,249,0.00025,0.313330078125,0.00765383243560791,0.2,1293.3828125,-59.413684725761414,2096.455689239502,640,-0.0167054247809574,0.032668825,1.157969355583191
14.230227,135168,542,66,249,0.00025,0.255615234375,0.006819248199462891,0.2,1666.4527587890625,-59.52182745933533,3769.5394638061525,650,-0.019173474065610208,0.027415965,1.1606067419052124
3.1868367,137216,550,67,249,0.00025,0.35849609375,0.01755845546722412,0.2,2460.147216796875,-59.60003669261933,2281.5119018554688,660,-0.008668964449316263,0.042700738,1.16311514377594
7.599135,139264,558,68,249,0.00025,0.2322265625,0.004529118537902832,0.2,868.96240234375,-59.6909957408905,2862.0695137023927,670,-0.021721577050630003,0.022509156,1.1661553382873535
15.14655,141312,566,69,249,0.00025,0.23837890625,0.01579195261001587,0.2,1878.7037353515625,-59.7797812461853,3389.7512199401854,680,-0.019389329566911327,0.029917933,1.168683648109436
11.93612,143360,574,70,249,0.00025,0.33505859375,0.033346712589263916,0.2,1741.113525390625,-59.85758740901947,2913.667377471924,690,-0.019775961087725592,0.03536192,1.1709551811218262
3.5325243,145408,582,71,249,0.00025,0.28603515625,0.02191317081451416,0.2,1494.79150390625,-59.965274477005,2534.543071746826,700,-0.022756289990502408,0.028749313,1.1749910116195679
-0.7195981,147456,591,72,249,0.00025,0.296630859375,0.016982674598693848,0.2,764.2958374023438,-60.062659525871275,3327.553401184082,710,-0.019571730238385498,0.030374793,1.177213191986084
-2.7114608,149504,599,73,249,0.00025,0.39580078125,0.022736787796020508,0.2,985.0944213867188,-60.14488022327423,2819.995598602295,720,-0.008264287150814198,0.052760705,1.18052077293396
-0.70040095,151552,607,74,249,0.00025,0.28115234375,0.037523746490478516,0.2,1812.7701416015625,-60.20533857345581,3702.1142127990724,730,-0.021883174707181752,0.03703411,1.1804211139678955
4.864706,153600,616,75,249,0.00025,0.352197265625,0.05556964874267578,0.2,769.2252197265625,-60.29067566394806,2077.3810955047607,740,-0.023772577760973947,0.038395192,1.1862409114837646
8.641901,155648,624,76,249,0.00025,0.321337890625,0.05825960636138916,0.2,1323.5081787109375,-60.452055716514586,1934.3009250640869,750,-0.018235176563030107,0.03706544,1.190328598022461
1.536888,157696,632,77,249,0.00025,0.34755859375,0.04902750253677368,0.2,775.6848754882812,-60.576620221138,2236.5972702026365,760,-0.014258272072765976,0.049011327,1.19426691532135
0.82214934,159744,640,78,249,0.00025,0.334912109375,0.07386964559555054,0.2,802.2379150390625,-60.71814074516296,2366.674938964844,770,-0.014450206179753877,0.035586774,1.1994235515594482
-6.214831,161792,649,79,249,0.00025,0.279443359375,0.039252281188964844,0.2,2302.22021484375,-60.87479679584503,4048.7674087524415,780,-0.019937352847773582,0.03398071,1.2041904926300049
39.9459,163840,657,80,249,0.00025,0.389892578125,0.08948802947998047,0.2,1453.8436279296875,-61.00077207088471,1860.3629348754882,790,-0.02142194280604599,0.039507627,1.2075179815292358
-16.382366,165888,665,81,249,0.00025,0.1962890625,0.05055278539657593,0.2,2278.81787109375,-61.09417147636414,4510.460330200195,800,-0.027308590718894264,0.021972094,1.209822177886963
-1.5200963,167936,673,82,249,0.00025,0.308203125,-0.016001582145690918,0.2,1761.6583251953125,-61.1499258518219,4828.433774566651,810,-0.013975592068163678,0.029090544,1.2111488580703735
23.07471,169984,682,83,249,0.00025,0.2435546875,0.05973237752914429,0.2,1243.29931640625,-61.20212297439575,5036.396308135986,820,-0.02171652077813633,0.025248919,1.2131201028823853
5.099759,172032,690,84,249,0.00025,0.372607421875,0.057306647300720215,0.2,1373.9932861328125,-61.277707839012145,3070.6763595581056,830,-0.014088748328504153,0.047801994,1.2160184383392334
4.6584644,174080,698,85,249,0.00025,0.263232421875,0.09385740756988525,0.2,2000.333984375,-61.33727662563324,3436.992223358154,840,-0.02535933968028985,0.034710396,1.2169612646102905
4.0133533,176128,706,86,249,0.00025,0.30673828125,0.08321207761764526,0.2,813.9754638671875,-61.38791344165802,2612.7932998657225,850,-0.02220977994147688,0.028384916,1.2195922136306763
0.97537935,178176,715,87,249,0.00025,0.321875,0.05900096893310547,0.2,1968.33349609375,-61.47196590900421,3817.370163726807,860,-0.016919322282774374,0.03184353,1.2220321893692017
-19.170685,180224,723,88,249,0.00025,0.309521484375,0.08365404605865479,0.2,1288.8553466796875,-61.54486451148987,3952.88126449585,870,-0.015837455316795968,0.03400576,1.224776268005371
-11.215871,182272,731,89,249,0.00025,0.395556640625,0.06650757789611816,0.2,1199.3507080078125,-61.66245846748352,2102.4849758148193,880,-0.01887369399773888,0.05652485,1.2292356491088867
-6.246095,184320,739,90,249,0.00025,0.230859375,0.03197669982910156,0.2,2549.191162109375,-61.77944717407227,6735.843577575683,890,-0.017387591679289473,0.026998006,1.2324599027633667
-2.6192546,186368,747,91,249,0.00025,0.181103515625,0.047567665576934814,0.2,2386.495849609375,-61.87708580493927,5149.184931945801,900,-0.02637033841747325,0.016166113,1.2353075742721558
-0.3015072,188416,756,92,249,0.00025,0.338671875,0.08912056684494019,0.2,2172.0380859375,-61.98606872558594,3018.6219367980957,910,-0.020365669651073403,0.0361304,1.2395285367965698
3.999612,190464,764,93,249,0.00025,0.25712890625,0.08400219678878784,0.2,2479.41455078125,-62.091988348960875,4612.357102966309,920,-0.017811777151655404,0.029044071,1.2427200078964233
10.141235,192512,772,94,249,0.00025,0.281640625,0.060645997524261475,0.2,3567.125732421875,-62.18273115158081,5807.676174926758,930,-0.01634609464672394,0.032636154,1.2451188564300537
7.972521,194560,780,95,249,0.00025,0.3271484375,0.11847621202468872,0.2,2286.92138671875,-62.259136009216306,3470.874404144287,940,-0.020746069008600897,0.03416211,1.248232126235962
-4.978531,196608,788,96,249,0.00025,0.293359375,0.1436406970024109,0.2,1378.610107421875,-62.395533847808835,3640.252322387695,950,-0.029946240928256884,0.027493056,1.252971887588501
5.0440097,198656,796,97,249,0.00025,0.2533203125,0.028422534465789795,0.2,5127.20361328125,-62.47044243812561,8144.653099060059,960,-0.014061327060335315,0.03522049,1.2539951801300049
6.139973,200704,805,98,249,0.00025,0.257421875,0.21538066864013672,0.2,1463.2069091796875,-62.5318829536438,2848.1123329162597,970,-0.02677898782712873,0.023558836,1.2571756839752197
22.518173,202752,813,99,249,0.00025,0.2142578125,0.058931589126586914,0.2,2868.762451171875,-62.61490895748138,5478.273764038086,980,-0.024974428037239704,0.022903502,1.2594105005264282
-0.88240224,204800,821,100,249,0.00025,0.261279296875,0.10406225919723511,0.2,2709.93505859375,-62.670273303985596,5257.735507202148,990,-0.024673927898402327,0.031420693,1.261121153831482
-2.3531897,206848,829,101,249,0.00025,0.3470703125,0.1529337763786316,0.2,978.2379760742188,-62.77191972732544,3128.340156555176,1000,-0.02102779675333295,0.033173166,1.2658727169036865
-0.5609337,208896,837,102,249,0.00025,0.21494140625,0.12438273429870605,0.2,1324.4786376953125,-62.888737487792966,6458.073011779785,1010,-0.020322780021524524,0.020049894,1.2692362070083618
-14.516224,210944,846,103,249,0.00025,0.29560546875,0.03005915880203247,0.2,3896.585693359375,-62.969690990448,6608.73568572998,1020,-0.012863027164712548,0.03892194,1.2713030576705933
-16.360964,212992,855,104,249,0.00025,0.234765625,0.05223417282104492,0.2,2452.682861328125,-63.06807050704956,4558.266746520996,1030,-0.03283228616055567,0.02145211,1.2752653360366821
0.48660016,215040,863,105,248,0.00025,0.327294921875,0.15844273567199707,0.2,1283.09033203125,-63.20580141544342,2691.9908882141112,1040,-0.012054233325761743,0.038579956,1.2807098627090454
